category,prompt
Everyday Conversation,วันนี้อากาศเป็นอย่างไรบ้าง
Everyday Conversation,คุณชอบกินอาหารไทยจานไหนมากที่สุด
Everyday Conversation,ไปตลาดซื้อของเมื่อไหร่ดี
Everyday Conversation,ตอนนี้กี่โมงแล้ว
Everyday Conversation,คุณมีสัตว์เลี้ยงไหม
Everyday Conversation,วันหยุดคุณชอบทำอะไร
Everyday Conversation,คุณชอบดื่มกาแฟหรือชา
Everyday Conversation,ไปเที่ยวที่ไหนมาล่าสุด
Everyday Conversation,ขอเส้นทางไปวัดพระแก้วหน่อย
Everyday Conversation,คุณมีพี่น้องกี่คน
News-Related,ข่าวเด่นวันนี้คืออะไร
News-Related,สถานการณ์น้ำท่วมเป็นอย่างไรบ้าง
News-Related,ตอนนี้มีข่าวเกี่ยวกับสุขภาพอะไรบ้าง
News-Related,ราคาน้ำมันวันนี้เป็นอย่างไร
News-Related,เลือกตั้งรอบหน้าจะมีเมื่อไหร่
News-Related,เศรษฐกิจประเทศไทยปีนี้ดีขึ้นไหม
News-Related,มีเหตุการณ์สำคัญเกิดขึ้นในกรุงเทพไหม
News-Related,นักกีฬาไทยได้เหรียญอะไรในโอลิมปิก
News-Related,รัฐบาลมีนโยบายใหม่อะไรบ้าง
News-Related,สถานการณ์โควิดตอนนี้เป็นอย่างไร
Talking to Elderly,คุณตาทานข้าวหรือยังครับ
Talking to Elderly,วันนี้อาการเจ็บป่วยของคุณยายดีขึ้นไหมครับ
Talking to Elderly,อยากไปวัดไหนบ้างครับช่วงนี้
Talking to Elderly,คุณตาชอบฟังเพลงอะไรครับ
Talking to Elderly,เล่าเรื่องสมัยก่อนให้ฟังหน่อยได้ไหมครับ
Talking to Elderly,วันนี้อากาศเย็น อย่าลืมใส่เสื้อกันหนาวนะครับ
Talking to Elderly,คุณยายเคยไปต่างจังหวัดบ้างไหมครับ
Talking to Elderly,อยากให้ผมช่วยอะไรบ้างไหมครับ
Talking to Elderly,คุณตาชอบอาหารรสจัดไหมครับ
Talking to Elderly,สมัยก่อนมีงานวัดสนุกไหมครับ
General Knowledge & Culture,ประเพณีสงกรานต์มีความสำคัญอย่างไร
General Knowledge & Culture,อาหารไทยจานไหนเผ็ดที่สุด
General Knowledge & Culture,วันพ่อแห่งชาติตรงกับวันที่เท่าไหร่
General Knowledge & Culture,ราชกาลที่ ๙ มีพระราชกรณียกิจอะไรบ้าง
General Knowledge & Culture,การไหว้แบบไทยควรทำอย่างไร
General Knowledge & Culture,เครื่องดนตรีไทยชนิดไหนบ้าง
General Knowledge & Culture,ภาษาไทยมีวรรณยุกต์กี่แบบ
General Knowledge & Culture,ชื่อเมืองหลวงของไทยมีความหมายว่าอะไร
General Knowledge & Culture,ลอยกระทงมีที่มาอย่างไร
General Knowledge & Culture,ไทยมีภาคทั้งหมดกี่ภาค
Health & Wellbeing,กินอะไรดีให้สุขภาพแข็งแรง
Health & Wellbeing,การนอนหลับให้เพียงพอสำคัญอย่างไร
Health & Wellbeing,ผู้สูงอายุควรออกกำลังกายแบบไหน
Health & Wellbeing,อาหารที่ควรหลีกเลี่ยงสำหรับผู้ป่วยเบาหวานคืออะไร
Health & Wellbeing,ควรดื่มน้ำวันละกี่ลิตร
Health & Wellbeing,ทำอย่างไรเมื่อรู้สึกเครียด
Health & Wellbeing,ควรไปพบแพทย์เมื่อมีอาการแบบไหน
Health & Wellbeing,การตรวจสุขภาพประจำปีสำคัญไหม
Health & Wellbeing,คนแก่ควรทานแคลเซียมเสริมหรือไม่
Health & Wellbeing,การดูแลผู้สูงอายุในบ้านควรทำอย่างไร
Travel & Transportation,จะไปเชียงใหม่โดยรถไฟต้องทำอย่างไร
Travel & Transportation,สถานที่ท่องเที่ยวที่แนะนำในอยุธยามีที่ไหนบ้าง
Travel & Transportation,ช่วงนี้ควรไปเที่ยวทะเลหรือภูเขาดี
Travel & Transportation,การขึ้นรถเมล์ในกรุงเทพฯต้องทำอย่างไร
Travel & Transportation,มีแหล่งท่องเที่ยวธรรมชาติใกล้กรุงเทพฯไหม
Travel & Transportation,ไปหัวหินต้องใช้เวลานานเท่าไหร่
Travel & Transportation,ขึ้นรถตู้ไปพัทยาที่ไหน
Travel & Transportation,แนะนำร้านอาหารอร่อยในเชียงรายหน่อย
Travel & Transportation,การนั่งเรือข้ามฟากในกรุงเทพฯปลอดภัยไหม
Travel & Transportation,รถไฟฟ้าสายสีเขียวผ่านที่ไหนบ้าง
Technology & Daily Life,การใช้สมาร์ทโฟนสำหรับผู้สูงอายุควรเริ่มอย่างไร
Technology & Daily Life,จะสั่งอาหารออนไลน์ต้องทำอย่างไร
Technology & Daily Life,โซเชียลมีเดียคืออะไร
Technology & Daily Life,แอปพลิเคชันไลน์ใช้ทำอะไรได้บ้าง
Technology & Daily Life,จะโอนเงินผ่านมือถือได้ยังไง
Technology & Daily Life,การประชุมผ่านวิดีโอคืออะไร
Technology & Daily Life,อินเทอร์เน็ตความเร็วสูงคืออะไร
Technology & Daily Life,โทรศัพท์รุ่นไหนดีสำหรับผู้สูงอายุ
Technology & Daily Life,ทำไมต้องอัปเดตซอฟต์แวร์ในมือถือ
Technology & Daily Life,จะถ่ายรูปและส่งให้เพื่อนในไลน์ได้อย่างไร
Emotions & Social Connection,คุณรู้สึกอย่างไรวันนี้
Emotions & Social Connection,มีอะไรที่ทำให้มีความสุขบ้าง
Emotions & Social Connection,เวลาเหงาคุณทำอะไร
Emotions & Social Connection,คุณคิดถึงใครบ่อยที่สุด
Emotions & Social Connection,ความรักคืออะไรในมุมมองของคุณ
Emotions & Social Connection,ทำยังไงให้ไม่รู้สึกโดดเดี่ยว
Emotions & Social Connection,เพื่อนดีเป็นอย่างไร
Emotions & Social Connection,การให้อภัยสำคัญไหม
Emotions & Social Connection,ครอบครัวมีความหมายยังไงสำหรับคุณ
Emotions & Social Connection,คุณเคยมีความทรงจำดีๆอะไรบ้างในวัยเด็ก
